order_id,title,quantity,status,created_at,started_at,completed_at,wait_time_seconds,completion_time_seconds,completion_time_minutes,total_requeues,avg_requeue_time_ms,min_requeue_time_ms,max_requeue_time_ms
229,Batch Test,215,completed,2025-12-15 17:05:21.750189+00,2025-12-15 17:05:22.599046+00,2025-12-15 17:27:27.546215+00,1,1325,22.08,261,12618.13,1896,37269
230,Batch Test,228,completed,2025-12-15 17:05:23.432228+00,2025-12-15 17:06:20.793288+00,2025-12-15 17:21:17.909848+00,57,897,14.95,62,7982.40,6718,10337
231,Batch Test,258,completed,2025-12-15 17:05:25.160218+00,2025-12-15 17:07:40.661894+00,2025-12-15 17:21:15.073828+00,136,814,13.57,55,11087.02,6477,29812
232,Batch Test,126,completed,2025-12-15 17:05:26.854227+00,2025-12-15 17:09:06.872538+00,2025-12-15 17:27:58.748462+00,220,1132,18.86,24,6895.25,6695,7300
233,Batch Test,126,completed,2025-12-15 17:05:27.685419+00,2025-12-15 17:09:48.056972+00,2025-12-15 17:22:11.511799+00,260,743,12.39,46,20359.07,6804,28285
234,Batch Test,136,completed,2025-12-15 17:05:28.302677+00,2025-12-15 17:10:29.604151+00,2025-12-15 17:22:12.186503+00,301,703,11.71,28,8206.32,6750,27652
235,Batch Test,228,completed,2025-12-15 17:05:29.049654+00,2025-12-15 17:11:16.365705+00,2025-12-15 17:23:27.337052+00,347,731,12.18,68,19394.40,6730,34532
236,Batch Test,100,completed,2025-12-15 17:05:30.27564+00,2025-12-15 17:12:29.253403+00,2025-12-15 17:23:34.367729+00,419,665,11.09,13,32977.92,32930,33018
237,Batch Test,119,completed,2025-12-15 17:05:30.886666+00,2025-12-15 17:13:08.079148+00,2025-12-15 17:24:11.930014+00,457,664,11.06,11,7122.18,6892,7294
238,Batch Test,261,completed,2025-12-15 17:05:31.452486+00,2025-12-15 17:13:44.756159+00,2025-12-15 17:38:53.391788+00,493,1509,25.14,50,12449.80,6075,26711
239,Batch Test,179,completed,2025-12-15 17:05:32.86686+00,2025-12-15 17:15:33.86366+00,2025-12-15 17:37:14.729839+00,601,1301,21.68,61,11369.84,6009,25406
240,Batch Test,194,completed,2025-12-15 17:05:34.177378+00,2025-12-15 17:16:28.172833+00,2025-12-15 17:31:32.001192+00,654,904,15.06,29,13084.97,6086,26496
241,Batch Test,255,completed,2025-12-15 17:05:35.03322+00,2025-12-15 17:17:53.370074+00,2025-12-15 17:44:43.162255+00,738,1610,26.83,44,10651.64,4459,26507
242,Batch Test,225,completed,2025-12-15 17:05:36.47654+00,2025-12-15 17:19:13.626504+00,2025-12-15 17:44:45.712439+00,817,1532,25.53,72,6518.71,4430,8101
243,Batch Test,170,completed,2025-12-15 17:05:37.72319+00,2025-12-15 17:20:29.353645+00,2025-12-15 17:37:48.857168+00,892,1040,17.33,33,25786.39,6270,27888
244,Batch Test,175,completed,2025-12-15 17:05:38.530872+00,2025-12-15 17:21:28.192885+00,2025-12-15 17:50:30.370654+00,950,1742,29.04,89,13386.25,4436,31518
245,Batch Test,176,completed,2025-12-15 17:05:39.622874+00,2025-12-15 17:22:22.504355+00,2025-12-15 17:52:20.429517+00,1003,1798,29.97,33,5698.06,5248,6150
246,Batch Test,274,completed,2025-12-15 17:05:40.844678+00,2025-12-15 17:23:23.531149+00,2025-12-15 17:50:31.104233+00,1063,1628,27.13,50,20169.62,5761,31528
247,Batch Test,279,completed,2025-12-15 17:05:42.05066+00,2025-12-15 17:24:56.206576+00,2025-12-15 17:50:25.326852+00,1154,1529,25.49,30,18455.77,6675,31426
248,Batch Test,281,completed,2025-12-15 17:05:43.328966+00,2025-12-15 17:26:51.338277+00,2025-12-15 17:55:24.645409+00,1268,1713,28.56,52,6306.88,5283,28535
249,Batch Test,145,completed,2025-12-15 17:05:44.776509+00,2025-12-15 17:28:26.296646+00,2025-12-15 17:55:14.425389+00,1362,1608,26.80,35,13013.74,5363,21673
250,Batch Test,210,completed,2025-12-15 17:05:45.483662+00,2025-12-15 17:29:16.415898+00,2025-12-15 17:57:40.996097+00,1411,1705,28.41,88,8200.51,4337,21732
251,Batch Test,186,completed,2025-12-15 17:05:46.567458+00,2025-12-15 17:30:21.32095+00,2025-12-15 17:58:38.69678+00,1475,1697,28.29,86,11163.43,4303,22061
252,Batch Test,174,completed,2025-12-15 17:05:47.25842+00,2025-12-15 17:31:28.850948+00,2025-12-15 18:03:27.963113+00,1542,1919,31.99,55,5688.07,4223,7498
253,Batch Test,257,completed,2025-12-15 17:05:47.922884+00,2025-12-15 17:32:33.884119+00,2025-12-15 18:03:36.015532+00,1606,1862,31.04,103,8561.21,4253,21903
254,Batch Test,142,completed,2025-12-15 17:05:48.855886+00,2025-12-15 17:34:03.102233+00,2025-12-15 18:07:54.572843+00,1694,2031,33.86,57,10483.25,4605,22682
255,Batch Test,294,completed,2025-12-15 17:05:49.421625+00,2025-12-15 17:34:51.778961+00,2025-12-15 18:07:56.01877+00,1742,1984,33.07,42,5687.74,4686,18942
256,Batch Test,134,completed,2025-12-15 17:05:50.66647+00,2025-12-15 17:36:28.31799+00,2025-12-15 18:08:38.894247+00,1838,1931,32.18,16,20680.31,20602,20861
257,Batch Test,182,completed,2025-12-15 17:05:51.304821+00,2025-12-15 17:37:12.042074+00,2025-12-15 18:12:44.432793+00,1881,2132,35.54,43,5366.88,4252,7006
258,Batch Test,209,completed,2025-12-15 17:05:52.133434+00,2025-12-15 17:38:07.683683+00,2025-12-15 18:15:03.272703+00,1936,2216,36.93,68,6287.53,5153,20951
259,Batch Test,143,completed,2025-12-15 17:05:52.909562+00,2025-12-15 17:39:27.88568+00,2025-12-15 18:14:21.740184+00,2015,2094,34.90,16,4618.63,4356,7859
260,Batch Test,243,completed,2025-12-15 17:05:53.600385+00,2025-12-15 17:40:21.903621+00,2025-12-15 18:18:37.185049+00,2068,2295,38.25,20,4867.15,4439,5258
261,Batch Test,255,completed,2025-12-15 17:05:54.217555+00,2025-12-15 17:41:45.032116+00,2025-12-15 18:22:55.575502+00,2151,2471,41.18,55,10434.64,4776,21367
262,Batch Test,169,completed,2025-12-15 17:05:54.581305+00,2025-12-15 17:43:11.578598+00,2025-12-15 18:27:03.457558+00,2237,2632,43.86,31,17225.29,5160,26091
263,Batch Test,213,completed,2025-12-15 17:05:54.818994+00,2025-12-15 17:44:10.851847+00,2025-12-15 18:25:31.556125+00,2296,2481,41.35,48,17262.77,6120,22588
264,Batch Test,247,completed,2025-12-15 17:05:55.072266+00,2025-12-15 17:45:30.267484+00,2025-12-15 18:28:27.757743+00,2375,2577,42.96,53,10149.68,4557,26104
265,Batch Test,285,completed,2025-12-15 17:05:55.469977+00,2025-12-15 17:46:52.978655+00,2025-12-15 18:32:07.712933+00,2458,2715,45.25,53,15451.40,4375,26265
266,Batch Test,240,completed,2025-12-15 17:05:56.104823+00,2025-12-15 17:48:32.372808+00,2025-12-15 18:33:34.080481+00,2556,2702,45.03,51,11780.08,4386,25157
267,Batch Test,145,completed,2025-12-15 17:05:56.463265+00,2025-12-15 17:49:53.031973+00,2025-12-15 18:34:24.995662+00,2637,2672,44.53,17,5160.06,4462,5282
268,Batch Test,297,completed,2025-12-15 17:05:56.8528+00,2025-12-15 17:50:45.513628+00,2025-12-15 18:42:09.800641+00,2689,3084,51.40,35,5893.11,4473,21378
269,Batch Test,234,completed,2025-12-15 17:05:57.22997+00,2025-12-15 17:52:26.920887+00,2025-12-15 18:43:17.943495+00,2790,3051,50.85,43,5465.53,4291,21765
270,Batch Test,216,completed,2025-12-15 17:05:57.50939+00,2025-12-15 17:53:50.158777+00,2025-12-15 18:50:49.32939+00,2873,3419,56.99,34,5506.41,4811,21376
271,Batch Test,181,completed,2025-12-15 17:05:57.782754+00,2025-12-15 17:55:03.729743+00,2025-12-15 18:52:44.250257+00,2946,3461,57.68,56,10088.32,4295,21940
